scientific_name,season,forest_types,substrate,description
Lactarius aspideus,липень — вересень.,"листяні ліси, на вологих місцях, переважно під вербою.",,"• Шапка: 3–5 (9) см, білувато-жовта, іноді лимонно-жовта, до краю світліша; опукло- або плоско-розпростерта, з віком увігнуто-розпростерта; гола, суха, при зволоженні клейка або слизиста; при натискуванні лілово-сіра до коричнево-фіолетової. • Пластинки: білі, з віком жовтуваті, з сірувато-червонуватим відтінком; вузькі, спускаються на ніжку; при дотику ліловіють, далі стають лілово-сірими, коричнюватими. • Ніжка: 3–8 × 0,5–1,5 см, циліндрична або до основи розширена, щільна; вгорі білувата, донизу жовтувата, біля основи іноді руда; при дотику ліловіє, потім стає лілово-сірою. • М’якоть: білий, з приємним запахом, на зламі швидко ліловіє, потім повільно знебарвлюється; спочатку солодкий, згодом пекуче-гіркий. • Споровий порошок: жовта. • Молочний сік: білий, спочатку у великій кількості, згодом майже зникає; на повітрі повільно ліловіє; мінливого смаку: спочатку солодкий, потім гіркий, далі пекучий."
Lactarius repraesentaneus,липень — жовтень.,хвойні та мішані вологі ліси.,,"• Шапка: 5–10 (15) см, яскраво-жовта, золотисто-жовта; щільном’ясиста, подушковидно-опукла, згодом опукло-розпростерта, часто в центрі увігнута, з горбочком; притиснуто-волокниста, в центрі майже гола; з підігнутим, потім опущеним, пластівчасто- або волокнисто-лускатим, волохатим краєм; при зволоженні слизька, при підсиханні блискуча; від натискування ліловіє. • Пластинки: вузькі, густі, жовтуваті, згодом рожевувато-жовті, з бурувато-лілуватими плямами. • Ніжка: 4,5–8 (10) × 1–2,5 (3) см, здебільшого коротша за діаметр шапки; щільна, згодом з порожниною; кольору шапки або світліша; при зволоженні клейка, потім суха; при натискуванні ліловіє. • М’якоть: щільний, жовтуватий, на зламі стає нерівномірно розпливчасто-ліловим; із сильним приємним запахом; без особливого смаку або гіркуватий. • Споровий порошок: жовта. • Молочний сік: білий або водянисто-безбарвний, гіркуватий, на повітрі (разом з м’якушем) ліловіє, при відділенні не змінюється."
Lactarius pubescens,вересень — жовтень.,"березові ліси, серед мохів, переважно на торфовищах.",,"• Шапка: 2–9 см, волохата, волокнисто-пластівчаста, з віком здебільшого майже гола; тонком’ясиста, увігнуто-розпростерта; із закрученим пластівчасто-волосистим волохатим краєм; біла або кремова, у центрі темніша — до вохряної, рожевувато-вохряної; клейка. • Пластинки: вузькі, білуваті, згодом рожевувато-кремові. • Ніжка: (1) 2–5 × 1–1,5 см, дуже коротка, вгорі білувата, донизу рудувата або рожевувато-рудувата, з порожниною. • М’якоть: щільний, білий, пекуче-їдкий. • Споровий порошок: рожевувато-кремова. • Молочний сік: білий, пекуче-їдкий, на повітрі не змінюється."
Lactarius controversus,серпень — листопад.,"листяні та мішані ліси, переважно під осикою, тополею, осокором, вербою.",,"• Шапка: 5–15 (20) см, товсто-щільном’ясиста, спочатку подушковидно-опукла, згодом увігнуто-розпростерта; спочатку з закрученим повстистим, потім опущеним голим краєм; світло-кремова, з розпливчастими рожевими або червонуватими плямами, іноді вся брудно-рожевувата; гола, клейкувата, часто по краю з водянистими концентричними зонами. • Пластинки: кремуваті з рожевим відтінком, з віком брудно-рожевуваті, брудно-червонуваті; густі, вузькі. • Ніжка: 2–5 × 1,5–4 (5) см, значно коротша за діаметр шапки, щільна, кольору шапки. • М’якоть: дуже щільний, білуватий, з віком у шапці рожевуватий, у ніжці жовтий; на зламі не змінюється; пекуче-їдкий; із приємним запахом. • Споровий порошок: рожевувата. • Молочний сік: білий, їдкий або гіркий; у молодих плодових тіл не дуже їдкий; на повітрі не змінюється."
Lactarius turpis,липень — листопад.,листяні (березові) та мішані з березою ліси.,,"• Шапка: 5–10 (20) см, оливково-коричнева, оливково-бура, іноді оливково-чорнувата, до краю світліша, жовтувата; з б.-м. яскравими темнішими концентричними зонами; гола, клейка; щільном’ясиста, увігнуто-розпростерта, з підігнутим, потім опущеним краєм. • Пластинки: вузькі, білуваті або жовтуваті, згодом брудно-жовті до коричнюватих; стиглі при дотику коричневіють або буріють. • Ніжка: 3–6 (8) × 1–2,5 см, щільна, кольору шапки або світліша, ямчаста, клейка. • М’якоть: білий, на зламі темніє; їдкуватий; із слабким грибним запахом. • Споровий порошок: кремова. • Молочний сік: білий або водянисто-безбарвний, на повітрі не змінюється, пекуче-їдкий."
Lactarius mammosus,серпень — жовтень.,"сухі хвойні ліси, на піщаних грунтах, здебільшого серед мохів та лишайників, групами.",,"• Шапка: 3–6 (9) см, сіро-коричнева, темно-коричнева, темно-сіро-бура, чорно-коричнювата, іноді з легким фіолетовим відтінком, до краю світліша; суха, волокнисто-повстиста або волокнисто-луската; тонком’ясиста, плоско-розпростерта, згодом часом увігнуто-розпростерта, часто з горбочком у центрі. • Пластинки: густі, вузькі, жовті, з часом червонувато-рудуваті; при натискуванні коричневіють. • Ніжка: 3–5 (7) × 0,8–2 см, циліндрична, щільна, згодом з каналом; білувата, з віком кольору шапки; при натискуванні стає буро-вохряною. • М’якоть: у шапці білуватий, під шкіркою темний, у ніжці червонувато-рудуватий; щільний, солодкуватий; у свіжих плодових тіл без запаху, у підсихаючих — з ароматним приємним запахом. • Споровий порошок: кремова. • Молочний сік: білий, на повітрі не змінюється; спочатку солодкуватий, згодом гострий або гіркий; у старих плодових тіл майже відсутній."
Lactarius flexuosus,липень — вересень.,"листяні, хвойні та мішані ліси.",,"• Шапка: 5–10 (15) см, брудно-лілово-сіра, коричнювато-лілово-сіра, з темнішими концентричними смугами, іноді без смуг; товсто-щільном’ясиста, опукло- або увігнуто-розпростерта, іноді лійковидна, часто асиметрична; з підігнутим, згодом опущеним хвилястим або лопатевидним краєм; суха, при зволоженні клейкувата; при натискуванні темніє. • Пластинки: товсті, рідкі, з проміжними жилками, кремові, з віком червонувато-світло-вохряні. • Ніжка: 3–8 × 1,5–3,5 см, донизу звужується; вгорі білувата, донизу кольору шапки; щільна; при натискуванні темніє. • М’якоть: жовтувато-білуватий, під шкіркою лілувато-коричнюватий; пекуче-їдкий, при підсиханні гіркуватий; із приємним запахом. • Споровий порошок: кремова. • Молочний сік: білий (засихаючий кремовий), дуже пекуче-їдкий."
Lactarius spinosulus,серпень — вересень.,"листяні ліси, під вільхою, зрідка під березою.",,"• Шапка: 1,5–4,5 (6) см, лілувато-сіро-рожева, лілувато-сіро-червонувата; радіальноволокниста, стовбурчастолуската; тонком’ясиста, опукло- або плоско-розпростерта, іноді майже лійковидна, здебільшого з гострим горбочком у центрі, з опущеним тонким краєм; клейка; при натискуванні зеленіє. • Пластинки: тонкі, густі, з віком рідкі, вузькі, світло-вохряні, далі червонувато-вохряні, припорошені споровою масою; при натискуванні стають коричнево-зеленуватими. • Ніжка: 2–5 × 0,3–0,8 см, донизу звужена, щільна або з каналом; кольору шапки, біля основи часом рудувата. • М’якоть: нерівномірно жовтувато-білуватий; спочатку солодкуватий, згодом (швидко) гоструватий; без особливого запаху; при натискуванні стає темно-зеленим. • Споровий порошок: рожевувато-світло-вохряна. • Молочний сік: білий, солодкуватий, згодом пекуче-їдкуватий."
Russula albonigra,серпень — вересень.,"листяні ліси, тільки під березою.",,
Russula nigricans,липень — жовтень.,листяні та хвойні ліси.,,
Russula densifolia,липень — жовтень.,листяні ліси.,,
Russula adusta,липень — жовтень.,соснові ліси на піску.,,
Russula decolorans,червень — жовтень.,соснові вологі ліси.,,
Russula obscura,липень — жовтень.,"соснові ліси, на болотистих місцях.",,
Russula xerampelina,липень — листопад.,"листяні та хвойні ліси, часто.",,
Russula claroflava,червень — жовтень.,"листяні ліси, на вологих місцях, під березою та вільхою.",,
Russula ochroleuca,липень — вересень.,"соснові ліси, на вологих місцях.",,
Russula turci,липень — вересень.,соснові ліси.,,
Russula puellaris,липень — жовтень.,хвойні та листяні ліси.,,
Russula viscida,липень — жовтень.,"хвойні ліси, переважно гірські.",,
Russula lilacea,липень — жовтень.,"дубові, букові, ліщинові ліси.",,
Russula pulchella,липень — жовтень.,"листяні ліси, переважно під березою або осикою.",,
Russula olivacea,липень — жовтень.,листяні та хвойні ліси.,,
Russula atropurpurea,липень — жовтень.,"листяні (букові, дубові) та соснові ліси.",,
Russula delica,серпень — жовтень.,листяні та хвойні ліси.,,
Russula lutea,липень — жовтень.,листяні та хвойні ліси.,,
Russula mustelina,липень — жовтень.,хвойні ліси.,,
Russula mollis,серпень — жовтень.,листяні та хвойні ліси.,,
Russula aeruginosa,липень — жовтень.,листяні (переважно березові) та хвойні ліси.,,
Russula virescens,липень — жовтень.,"листяні (дубові, березові) та мішані ліси.",,
Russula amoena,липень — вересень.,листяні та хвойні ліси.,,
Russula heterophylla,серпень — вересень.,"листяні, переважно букові, зрідка хвойні ліси.",,
Russula cyanoxantha,серпень — вересень.,"листяні (дубові, букові) ліси.",,
Russula grisea,серпень — вересень.,"листяні (дубові, букові) та хвойні (ялинові) ліси.",,
Russula roseipes,липень — жовтень.,"осикові, переважно гірські, зрідка сухі листяні ліси.",,
Russula brunneoviolacea,серпень — жовтень.,листяні або мішані ліси (під дубом).,,
Russula melliolens,червень — жовтень.,листяні та мішані ліси (під дубом).,,
Russula aurata,серпень — вересень.,листяні та соснові ліси.,,
Russula paludosa,серпень — жовтень.,"соснові ліси, на вологих місцях, часто серед чорниці.",,
Russula curtipes,серпень — вересень.,листяні ліси (під дубом та буком).,,
Russula vesca,липень — жовтень.,соснові та листяні ліси.,,
Russula alutacea,липень — жовтень.,листяні та хвойні ліси.,,
Russula integra,липень — жовтень.,соснові та листяні ліси.,,
Russula fellea,липень — жовтень.,"листяні, переважно букові, ліси.",,
Russula foetens,,,,
Russula farinipes,,,,
Russula consobrina,,,,
Russula pectinata,,,,
Russula maculata,липень — жовтень.,листяні ліси.,,
Russula rubra,липень — жовтень.,листяні та хвойні ліси.,,
Russula sanguinea,липень — жовтень.,соснові або мішані з сосною вологі ліси.,,
Russula badia,серпень — вересень.,"хвойні, переважно соснові, ліси.",,
Russula sardonia,липень — вересень.,соснові ліси.,,
Russula queletii,липень — вересень.,"ялинові гірські ліси, зрідка на рівнині.",,
Russula rosea,серпень — жовтень.,листяні та соснові ліси.,,
Russula pseudointegra,серпень — жовтень.,листяні (дубові) ліси.,,
Russula caerulea,серпень — вересень.,"вологі місця, під березою, осикою.",,
Russula nauseosa,серпень — жовтень.,соснові ліси.,,
Tricholoma album,серпень — жовтень.,"листяні та хвойні ліси, на ґрунті.",,"• Шапка: 5–12 см, біла або кремова, гола, суха; опукла, згодом плоско-розпростерта, з підігнутим краєм. • Пластинки: білі, густі, прирослі. • Ніжка: 5–10 × 1–2 см, біла, волокниста, щільна. • М'якоть: біла, з неприємним запахом, пекучо-гірка. • Споровий порошок: білий."
Tricholoma sulphureum,серпень — жовтень.,"листяні та хвойні ліси, на ґрунті.",,"• Шапка: 3–8 см, сірчано-жовта або оливкувато-жовта, шовковиста; опукла, згодом плоско-розпростерта. • Пластинки: жовті, густі, прирослі. • Ніжка: 5–10 × 1–1,5 см, жовта, волокниста. • М'якоть: жовта, з дуже неприємним запахом (сірководню або газу). • Споровий порошок: білий."
Tricholoma virgatum,серпень — жовтень.,"хвойні (соснові) ліси, на ґрунті.",,"• Шапка: 3–9 см, сіра або лілувато-сіра, радіально-чорноволокниста; опукла, згодом плоско-розпростерта, з горбочком. • Пластинки: білі, з часом сірі, густі. • Ніжка: 6–12 × 0,8–2,2 см, біла, сірувата, волокниста. • М'якоть: сірувата, дуже гірка, з неприємним запахом. • Споровий порошок: білий."
Tricholoma vaccinum,серпень — жовтень.,"хвойні ліси, на ґрунті.",,"• Шапка: 4–7 см, червоно- або рудо-коричнева, шерстисто-повстисто-луската; опукла, згодом плоско-розпростерта, з горбочком. • Пластинки: білуваті, згодом брудно-червонуваті, густі. • Ніжка: 4–10 × 1–1,5 см, кольору шапки, волокнисто-луската. • М'якоть: біла, з запахом борошна. • Споровий порошок: білий."
Tricholoma imbricatum,серпень — жовтень.,"хвойні ліси, на ґрунті.",,"• Шапка: 4–10 см, рудувато- або буро-коричнева, волокнисто-луската (луски розташовані як черепиця); опукла, згодом плоско-розпростерта, з горбочком. • Пластинки: білуваті, згодом червонувато-коричнюваті, густі. • Ніжка: 7–13 × 1–2,5 см, білувата, волокниста. • М'якоть: білувата, з запахом борошна. • Споровий порошок: білий."
Tricholoma pessundatum,серпень — жовтень.,"хвойні (соснові) ліси, на ґрунті.",,"• Шапка: 4–15 см, руда або бурувато-жовтувата, волокнисто-луската; опукла, згодом плоско-розпростерта, часто з горбочком. • Пластинки: білі, згодом руді, густі. • Ніжка: 4–12 × 2–4 см, білувата, біля основи коричнювата. • М'якоть: біла, з запахом борошна, на зламі рудіє. • Споровий порошок: білий."
Tricholoma populinum,вересень — листопад.,"під тополями, великими групами.",,"• Шапка: 4–15 см, коричнювата або сіро-коричнювата, волокнисто-луската; опукла, згодом плоско-розпростерта. • Пластинки: білі, згодом рудіють, густі. • Ніжка: 3–10 × 2–4 см, білувата, щільна. • М'якоть: біла, з запахом борошна, на зламі рудіє. • Споровий порошок: білий."
Tricholoma saponaceum,серпень — жовтень.,"листяні та хвойні ліси, на ґрунті.",,"• Шапка: 4–10 см, сірувата або оливкувато-сірувата, гола; опукла, згодом плоско-розпростерта, часто з горбочком. • Пластинки: жовтувато- або зеленувато-білі, густі. • Ніжка: 5–12 × 1–3 см, біла або темно-сіра, волокнисто-луската. • М'якоть: гіркувата, з запахом мила (характерна ознака!). • Споровий порошок: білий."
Tricholoma sejunctum,серпень — жовтень.,"листяні та хвойні ліси, на ґрунті.",,"• Шапка: 3–10 см, зеленкувато- або оливкувато-жовта, в центрі коричнева, радіально-темноволокниста; опукла, згодом плоско-розпростерта, з горбочком. • Пластинки: білі, згодом жовтуваті, густі. • Ніжка: 5–12 × 1–3 см, біла, жовтувата, волокниста. • М'якоть: біла, гіркувата, з запахом борошна. • Споровий порошок: білий."
Tricholoma orirubens,серпень — жовтень.,"дубові ліси, на ґрунті.",,"• Шапка: 5–10 см, сіра, в центрі темніша, чорноволокнисто-луската; опукла, згодом плоско-розпростерта. • Пластинки: білі, згодом рожевуваті, густі. • Ніжка: 5–8 × 1–2,5 см, біла, біля основи зеленкувата. • М'якоть: білувата, на зламі рожевіє. • Споровий порошок: білий."
Clitocybe nebularis,вересень — листопад.,"листяні та хвойні ліси, на ґрунті, часто великими групами.",,"• Шапка: 7–30 см, біла, сірувата або сіра, гола; опукла, згодом плоско-розпростерта, з горбочком, край підігнутий. • Пластинки: білуваті, згодом брудно-жовтуваті, густі, злегка спускаються на ніжку. • Ніжка: 5–12 × 2–4 см, білувата, волокниста, щільна, з віком з порожниною. • М'якоть: біла, з сильним фруктовим запахом. • Споровий порошок: кремовий."
Clitocybe geotropa,серпень — листопад.,"листяні ліси, галявини, пасовища, часто утворює «відьмині кільця».",,"• Шапка: 5–20 (30–40) см, брудно-жовтувата або коричнювата, увігнуто-розпростерта, з горбочком, згодом лійковидна; край закручений. • Пластинки: білуваті, згодом кольору шапки, низько спускаються на ніжку. • Ніжка: 5–16 × 1–4 см, білувата, щільна, згодом коркувата. • М'якоть: біла, щільна, з приємним запахом. • Споровий порошок: білий."
Clitocybe gigantea,серпень — жовтень.,"соснові ліси, галявини, пасовища, на ґрунті, часто «відьмині кільця».",,"• Шапка: 10–40 см, біла, в центрі жовтувата, гола; опукла, згодом лійковидна, з закрученим краєм. • Пластинки: білі, з часом кольору шапки, густі, злегка спускаються. • Ніжка: 4–7 × 2–5 см, біла, борошниста, щільна. • М'якоть: біла, з легким запахом борошна; смак спочатку добрий, згодом гіркуватий. • Споровий порошок: білий."
Clitocybe odora,серпень — жовтень.,"листяні та хвойні ліси, на ґрунті.",,"• Шапка: 3–9 см, зелена або синювато-зелена, гола; опукла, згодом плоско-розпростерта. • Пластинки: зеленуваті, густі, прирослі. • Ніжка: 4–7 × 0,5–1 см, зеленувата, щільна. • М'якоть: білувата, з сильним запахом анісу. • Споровий порошок: білий."
Clitocybe clavipes,серпень — жовтень.,"хвойні та листяні ліси, на ґрунті.",,"• Шапка: 4–10 см, сірувато-коричнева, гола; опукла, згодом плоско-розпростерта. • Пластинки: білі, згодом жовтуваті, густі. • Ніжка: 3–6 × 1–2 см, донизу булавовидно потовщена, сірувата. • М'якоть: біла, з слабким запахом. • Споровий порошок: білий."
Clitocybe infundibuliformis,липень — жовтень.,"хвойні та листяні ліси, на ґрунті.",,"• Шапка: 3–15 см, рудувато-кремова або вохряно-жовта, лійковидна, з тонким хвилястим краєм. • Пластинки: білуваті, згодом кольору шапки, низько спускаються. • Ніжка: 3–6 × 0,5–1,2 см, біла, гола, щільна. • М'якоть: біла, з приємним запахом. • Споровий порошок: білий."
Clitocybe rivulosa,вересень — листопад.,"луки, пасовища, поля, узбіччя, на ґрунті.",,"• Шапка: 2–7 см, біла, з кремовими або рудуватими зонами, при зволоженні рудувато-м'ясо-червона; опукла, згодом плоско-розпростерта. • Пластинки: білі, згодом жовтуваті, густі. • Ніжка: 2–6 × 0,4–0,9 см, кольору шапки, щільна. • М'якоть: біла, з слабким приємним запахом. • Споровий порошок: білий."
Clitocybe phyllophila,вересень — листопад.,"листяні (букові) ліси, на опалому листі.",,"• Шапка: 5–11 см, біла або жовтувато-біла, шовковиста; опукла, згодом плоско-розпростерта. • Пластинки: білі, згодом кремово-жовтуваті, густі. • Ніжка: 2,5–8 × 0,3–1,2 см, кольору шапки, біля основи повстисто-волосиста. • М'якоть: біла, з сильним запахом борошна. • Споровий порошок: білий."
Clitocybe suaveolens,серпень — жовтень.,"хвойні та листяні ліси, на ґрунті, часто серед мохів.",,"• Шапка: 2–6 см, білувата, кремова, жовтувата, з рожевим відтінком; опукла, згодом плоско-розпростерта. • Пластинки: білі, згодом сірі, густі. • Ніжка: 3–6 × 0,3–0,6 см, кольору шапки, щільна. • М'якоть: біла, з приємним анісовим запахом. • Споровий порошок: білий."
Clitocybe brumalis,вересень — листопад (до зимових морозів).,"хвойні ліси, на ґрунті.",,"• Шапка: 2–7 см, сіра, жовто-сіра або сіро-коричнювата, увігнута, з горбочком; край підігнутий. • Пластинки: білуваті, згодом жовтуваті, густі. • Ніжка: 3–6 × 0,3–0,5 см, кольору шапки, білоповстиста. • М'якоть: біла, з запахом борошна. • Споровий порошок: білий."
Collybia dryophila,травень — листопад.,"листяні та хвойні ліси, на ґрунті, опалому листі, гнилій деревині.",,"• Шапка: 2–6 см, білувата, рудувато-вохряна, жовтувато-коричнювата; опукла, згодом плоско-розпростерта, гола. • Пластинки: білуваті, згодом кремові, густі, прирослі. • Ніжка: 3–7 × 0,2–0,5 см, білувата, вохряно-жовтувата, волокниста, щільна. • М'якоть: біла, без особливого запаху. • Споровий порошок: білий."
Collybia peronata,липень — жовтень.,"листяні та хвойні ліси, на ґрунті, опалому листі.",,"• Шапка: 2–7 см, бурувато-рудувата, вохряно-бурувата, зморшкувато-рубчаста; опукла, згодом плоско-розпростерта. • Пластинки: рідкі, коричнювато-жовті, прирослі. • Ніжка: 3–8 × 0,3–0,8 см, бурувато-коричнювата, повстиста, щільна. • М'якоть: жовтувата, пекучо-гірка. • Споровий порошок: білий."
Collybia confluens,липень — жовтень.,"листяні та хвойні ліси, на опалому листі, ґрунті.",,"• Шапка: 2–5 см, бурувато-білувата, рожевувато-сірувато-жовта; опукла, згодом плоско-розпростерта. • Пластинки: густі, білуваті, згодом кольору шапки, прирослі. • Ніжка: 5–9 × 0,2–0,4 см, рудувата, повстисто-волосиста, щільна; ніжки зростаються у щільні групи. • М'якоть: білувата, без запаху. • Споровий порошок: білий."
Collybia maculata,серпень — жовтень.,"хвойні ліси, на ґрунті, пнях.",,"• Шапка: 5–12 см, біла, білувата, з рудуватими плямами; опукла, згодом плоско-розпростерта. • Пластинки: білі, густі, прирослі. • Ніжка: 6–10 × 1–2 см, біла, з плямами, борозенчаста, щільна. • М'якоть: біла, гірка. • Споровий порошок: білий."
Collybia butyracea,липень — листопад.,"листяні та хвойні ліси, на ґрунті, опалому листі.",,"• Шапка: 4–9 см, рудувато-сірувата, сірувато-бурувата, гола; опукла, згодом плоско-розпростерта. • Пластинки: білуваті, густі, прирослі. • Ніжка: 4–8 × 0,5–2 см, білувата, штрихувата, щільна. • М'якоть: білувата, з приємним маслянистим запахом. • Споровий порошок: білий."
Collybia fusipes,серпень — жовтень.,"біля стовбурів листяних дерев, пнів (дуб).",,"• Шапка: 4–10 см, червонувато-коричнева, рудувато-коричнева, гола; опукла, згодом плоско-розпростерта. • Пластинки: білі, згодом рудуваті, густі, прирослі. • Ніжка: 8–12 × 1–2 см, веретеновидна, з кореневидним виростом, кольору шапки, щільна. • М'якоть: білувата, без запаху. • Споровий порошок: білий."
Mycena pura,травень — листопад.,"листяні та хвойні ліси, на ґрунті, опалому листі.",,"• Шапка: 2–6,5 см, лілувата, рожева, жовтувато-рожева, гола, рубчаста; дзвониковидна, згодом плоско-розпростерта. • Пластинки: лілуваті, широкі, прирослі. • Ніжка: 4–7 × 0,2–1 см, кольору шапки, щільна. • М'якоть: з запахом редьки. • Споровий порошок: білий."
Mycena galericulata,травень — листопад.,"пні, стовбури, гнила деревина.",,"• Шапка: 2–6 см, сіра, коричнево-сіра, бурувато-коричнювата, гола; дзвониковидна, згодом плоско-розпростерта. • Пластинки: білуваті, згодом рожевуваті, густі, прирослі. • Ніжка: 2–11 × 0,15–0,7 см, кольору шапки, щільна. • М'якоть: з запахом борошна. • Споровий порошок: білий."
Mycena polygramma,травень — листопад.,"пні, стовбури.",,"• Шапка: 2–4 см, бурувато- або коричнювато-сіра, штрихувата; дзвониковидна, згодом плоско-розпростерта. • Пластинки: білуваті, згодом рожевуваті, густі. • Ніжка: 3–14 × 0,1–0,5 см, зморшкувато-рубчаста, білувата, щільна. • М'якоть: без запаху. • Споровий порошок: білий."
Mycena haematopus,травень — жовтень.,"пні, стовбури листяних дерев.",,"• Шапка: 1–3 см, сіро-коричнево-рожева, пурпурово-коричнювата; дзвониковидна. • Пластинки: рідкі, білі. • Ніжка: 2–8 × 0,1–0,3 см, донизу криваво-червона, при пошкодженні виділяє червоний сік. • М'якоть: без особливого запаху. • Споровий порошок: білий."
Mycena rosella,серпень — жовтень.,"хвойні ліси, на опалій хвої, часто серед моху; росте невеликими групами.",,"• Шапка: 0,5–1,5 см у діаметрі; спочатку дзвоникоподібна, потім опукла або плоско-розпростерта; жовтувато-рожева, рожева, до краю червонувата; поверхня гладенька, злегка рубчаста; край рівний, тонкий, іноді хвилястий. • Пластинки: рожевуваті, з віком бліднішають; прирослі, досить густі. • Ніжка: 2,5–4 см × 0,1 см; циліндрична, кольору шапки або світліша; гладенька, порожниста; без кільця та піхви. • М’якоть: тонка, білувато-рожева; на зламі не змінюється; без виразного запаху; смак м’який. • Споровий порошок: білий."
Mycena epipterygia,серпень — жовтень.,"на мохах, на стовбурах дерев, на гнилій деревині; часто серед вологого моху.",,"• Шапка: 1–2,5 см у діаметрі; дзвоникоподібна, потім опукла або плоско-розпростерта; сірувато-коричнева, жовтувата, іноді з оливковим відтінком; поверхня дуже клейка, рубчаста; край тонкий, рубчастий. • Пластинки: білі, згодом сіруваті; прирослі, густі. • Ніжка: 5–8 см × 0,1–0,17 см; циліндрична, лимонно-жовта; клейка, гладенька, порожниста; без кільця та піхви. • М’якоть: тонка, білувата; на зламі не змінюється; з неприємним запахом; смак м’який. • Споровий порошок: білий."
Mycena inclinata,травень — листопад.,"пні листяних дерев, часто великими групами; росте на гнилій деревині.",,"• Шапка: 2,5–4 см у діаметрі; дзвоникоподібна, згодом опукла або плоско-розпростерта; брудно-біла, чорнувата, сіро-коричнева, з радіальними штрихами; поверхня гладенька, злегка рубчаста; край нерівний. • Пластинки: білуваті, згодом рожевуваті; прирослі, густі. • Ніжка: 4–9 см; циліндрична, часто нахилена; жовта, біля основи червоно-коричнева; гладенька, порожниста; без кільця та піхви. • М’якоть: тонка, білувата; на зламі не змінюється; з неприємним запахом; смак м’який. • Споровий порошок: білий."
Mycena aetites,серпень — жовтень.,"хвойні ліси, на гнилих пнях, на опалій хвої; часто групами.",,"• Шапка: 1–5 см у діаметрі; спочатку дзвоникоподібна, потім опукла або плоско-розпростерта; бурувато-коричнювато-сіра, коричнева, з радіальними рубчиками; поверхня гладенька, суха; край рубчастий. • Пластинки: сіро-коричневі; прирослі, густі. • Ніжка: 5–7 см × 0,2 см; циліндрична, кольору шапки; гладенька, порожниста; без кільця та піхви. • М’якоть: тонка, білувата; на зламі не змінюється; з дуже сильним аміачним запахом; смак м’який. • Споровий порошок: білий."
Mycena galopus,серпень — жовтень.,"листяні та хвойні ліси, на ґрунті, опалому листі, гнилій деревині.",,"• Шапка: 1–3 см у діаметрі; дзвоникоподібна, згодом опукла або плоско-розпростерта; коричнювата, сірувато-коричнева; поверхня гладенька, злегка рубчаста; край рівний. • Пластинки: білуваті; прирослі, густі. • Ніжка: 4–8 см × 0,1–0,15 см; циліндрична, коричнювата; при пошкодженні виділяє білий молочний сік; гладенька, порожниста; без кільця та піхви. • М’якоть: тонка, білувата; на зламі не змінюється; без особливого запаху; смак м’який. • Споровий порошок: білий."
Mycena sanguinolenta,травень — жовтень.,"листяні та хвойні ліси, на ґрунті, опалому листі, гнилій деревині.",,"• Шапка: 0,6–2 см у діаметрі; дзвоникоподібна, згодом опукла або плоско-розпростерта; коричнювато-червона, червонувато-коричнева; поверхня гладенька, злегка рубчаста; край рівний. • Пластинки: білуваті; прирослі, густі. • Ніжка: 4–8 см × 0,1–0,15 см; циліндрична, коричнювато-червона; при пошкодженні виділяє коричнювато-червоний сік; гладенька, порожниста; без кільця та піхви. • М’якоть: тонка, білувата; на зламі не змінюється; без особливого запаху; смак м’який. • Споровий порошок: білий."
Marasmius oreades,травень — жовтень (масово у травні-червні та вересні).,"луки, пасовища, галявини, узбіччя; утворює характерні «відьмині кільця».",,"• Шапка: 2–5 см у діаметрі; спочатку дзвоникоподібна, потім опукла або плоско-розпростерта, часто з горбочком; кремова, кольору шкіри, вохряно-кремова; поверхня гладенька, суха, матова; край рівний, іноді хвилястий. • Пластинки: білі, згодом кремові; рідкі, широкі; прирослі або майже вільні. • Ніжка: 4–7 см × 0,3–0,5 см; циліндрична, білувата; щільна, волокниста; без кільця та піхви. • М’якоть: білуватий, тонкий; на зламі не змінюється; з приємним грибним запахом; смак приємний. • Споровий порошок: білий."
Marasmius alliaceus,серпень — жовтень.,"листяні (особливо букові) та хвойні ліси, на опалому листі, гнилій деревині.",,"• Шапка: 2–5 см у діаметрі; спочатку дзвоникоподібна, потім опукла або плоско-розпростерта; біла, білувата, згодом коричнювато-кремова; поверхня гладенька, суха; край рівний. • Пластинки: білуваті; прирослі, густі. • Ніжка: 4,5–20 см × 0,1–0,3 см; циліндрична, дуже довга; темна, майже чорна; гладенька, волокниста, щільна; без кільця та піхви. • М’якоть: білуватий, тонкий; на зламі не змінюється; з дуже сильним запахом часнику; смак грибний. • Споровий порошок: білий."
Marasmius scorodonius,липень — жовтень.,"хвойні та листяні ліси, на ґрунті, опалій хвої, гілочках; часто групами.",,"• Шапка: 1–3,5 см у діаметрі; спочатку дзвоникоподібна, потім опукла або плоско-розпростерта; червонувато-коричнювата, з віком вицвітає до світло-коричневої; поверхня гладенька, суха; край рівний, тонкий. • Пластинки: білі, червонувато-білі; прирослі, густі. • Ніжка: 2–4 см × 0,1–0,2 см; циліндрична, червонувато-темно-коричнева; гладенька, щільна; без кільця та піхви. • М’якоть: білуватий, тонкий; на зламі не змінюється; з дуже сильним запахом часнику; смак грибний. • Споровий порошок: білий."
