scientific_name,twin_name,twin_status,distinguishing
Stropharia aeruginosa,Stropharia aeruginosa,інші синьо-зелені строфарії,"мають схожий вигляд, але неїстівні."
Stropharia aeruginosa,Stropharia hornemannii,неїстівний,"шапка більша, з білими пластівцями по краю."
Pholiota squarrosa,Pholiota aurivella,їстівний,"шапка золотисто-жовта, з іржавими лусками."
Pholiota squarrosa,Pholiota squarrosoides,умовно-їстівний,"шапка світліша, луски дрібніші."
Pholiota aurivella,Pholiota squarrosa,умовно-їстівний,"шапка жовтувато-іржава, з відстовбурченими лусками."
Pholiota aurivella,Pholiota adiposa,їстівний,"шапка жовто-коричнева, слизька, без луски."
Cortinarius violaceus,Cortinarius violaceus,інші фіолетові павутинники,"мають схожий вигляд, але можуть бути отруйними."
Cortinarius violaceus,Cortinarius armillatus,їстівний,"шапка іржаво-коричнева, ніжка з червоними кільцями."
Cortinarius armillatus,Cortinarius triumphans,їстівний,"шапка жовтувато-оранжева, слизька, без червоних кілець."
Cortinarius armillatus,Cortinarius violaceus,їстівний,все плодове тіло фіолетове.
Cortinarius triumphans,Cortinarius armillatus,їстівний,"шапка іржаво-коричнева, ніжка з червоними кільцями."
Cortinarius triumphans,Cortinarius violaceus,їстівний,все плодове тіло фіолетове.
Inocybe rimosa,Inocybe fastigiata,отруйний,"шапка жовтувато-коричнева, радіально-волокниста."
Inocybe rimosa,Inocybe geophylla var. lilacina,отруйний,шапка лілувата.
Inocybe fastigiata,Inocybe geophylla,отруйний,"шапка біла, шовковиста."
Inocybe fastigiata,Inocybe rimosa,отруйний,"шапка жовтувато-бура, з горбочком."
Macrolepiota rhacodes,Macrolepiota procera,їстівний,"шапка більша, сірувато-коричнева, з лусками, м’якуш не червоніє."
Macrolepiota rhacodes,Lepiota cristata,отруйний,"шапка дрібніша, з червонувато-коричневими лусками."
Lepiota clypeolaria,Lepiota cristata,отруйний,шапка з червонувато-коричневими лусочками.
Lepiota clypeolaria,Macrolepiota rhacodes,їстівний,"шапка більша, м’якуш червоніє."
Lepiota cristata,Lepiota clypeolaria,неїстівний,шапка з жовтувато-коричневими лусочками.
Lepiota cristata,Macrolepiota rhacodes,їстівний,"шапка більша, м’якуш червоніє."
Lepiota felina,Lepiota cristata,отруйний,шапка з червонувато-коричневими лусочками.
Lepiota felina,Lepiota clypeolaria,неїстівний,шапка з жовтувато-коричневими лусочками.
Lepiota lilacea,Lepiota cristata,отруйний,"шапка з червонувато-коричневими лусочками, без лілового відтінку."
Lepiota lilacea,Lepiota clypeolaria,неїстівний,шапка з жовтувато-коричневими лусочками.
Lyophyllum decastes,Lyophyllum connatum,їстівний,"білі плодові тіла, зрослі основами."
Lyophyllum decastes,Lyophyllum immundum,їстівний,м’якуш чорніє на повітрі.
Lyophyllum connatum,Lyophyllum decastes,їстівний,"коричнево-сіра шапка, великі групи."
Lyophyllum connatum,Lyophyllum ulmarium,їстівний,росте на стовбурах в’яза.
Lyophyllum ulmarium,Lyophyllum decastes,їстівний,"росте на ґрунті, коричнево-сіра шапка."
Lyophyllum ulmarium,Pleurotus ostreatus,їстівний,"шапка сірувато-коричнева, пластинки низько спускаються."
Lyophyllum loricatum,Lyophyllum decastes,їстівний,"коричнево-сіра шапка, гладенька."
Lyophyllum loricatum,Lyophyllum immundum,їстівний,м’якуш чорніє на повітрі.
Lyophyllum immundum,Lyophyllum decastes,їстівний,м’якуш не чорніє.
Lyophyllum immundum,Lyophyllum loricatum,їстівний,"шапка панцирна, складчаста."
Pleurotus cornucopiae,Pleurotus ostreatus,їстівний,"шапка сірувато-коричнева, пластинки не такі рясні."
Pleurotus cornucopiae,Pleurotus dryinus,їстівний,"шапка з пластівцями, з кільцем."
Pleurotus calyptratus,Pleurotus ostreatus,їстівний,"шапка сірувато-коричнева, пластинки не такі рясні."
Pleurotus calyptratus,Pleurotus cornucopiae,їстівний,"шапка білувата, рясні пластинки."
Pleurotus eryngii,Pleurotus ostreatus,їстівний,"шапка сірувато-коричнева, росте на деревині."
Pleurotus eryngii,Pleurotus cornucopiae,їстівний,"шапка білувата, росте на деревині."
Lentinus tigrinus,Lentinus lepideus,їстівний (молодий),"шапка більша, луски крупніші."
Lentinus tigrinus,Lentinus cyathiformis,їстівний (молодий),"шапка кремова, без темних лусок."
Lentinus cyathiformis,Lentinus tigrinus,їстівний (молодий),"шапка менша, з темними лусками."
Lentinus cyathiformis,Lentinus lepideus,їстівний (молодий),шапка з крупними коричневими лусками.
Lentinus lepideus,Lentinus tigrinus,їстівний (молодий),шапка з дрібними темними лусками.
Lentinus lepideus,Lentinus cyathiformis,їстівний (молодий),"шапка кремова, без крупних лусок."
Schizophyllum commune,Schizophyllum amplum,неїстівний,"шапка більша, пластинки не розщеплені."
Schizophyllum commune,Pleurotus,їстівні,"пластинки цілісні, не розщеплені."
Volvariella speciosa,Volvariella bombycina,їстівний,"шапка біла, волокнисто-луската, росте на деревині."
Volvariella speciosa,Amanita phalloides,смертельно отруйний,"з кільцем на ніжці та білою піхвою, пластинки білі."
Volvariella bombycina,Volvariella speciosa,їстівний,"шапка брудно-біла, гладенька, росте на ґрунті."
Volvariella bombycina,Amanita phalloides,смертельно отруйний,"з кільцем на ніжці, пластинки білі."
Pluteus atromarginatus,Pluteus cervinus,їстівний,"шапка коричнева, пластинки без темного краю."
Pluteus atromarginatus,Pluteus salicinus,умовно-їстівний,"шапка сріблясто-сіра, м’якуш зеленіє."
